No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,MVVM,Use MVVM or MVU patterns,Separates UI from logic increases testability,ViewModels with INotifyPropertyChanged,Code-behind with business logic,ObservableProperty or RaisePropertyChanged,Heavy logic in Page code-behind,Medium,https://learn.microsoft.com/en-us/dotnet/maui/xaml/fundamentals/mvvm
2,Binding,Prefer compiled bindings,XAML compiled bindings catch errors early,x:DataType at root or DataTemplate,Classic bindings without type,x:DataType local:MainViewModel,<Label Text="{Binding Typo}"> without compile check,High,https://learn.microsoft.com/en-us/dotnet/maui/fundamentals/data-binding/compiled-bindings
3,Binding,Avoid binding mode mismatches,Reduce surprises and cycles,OneWay or TwoWay explicitly where needed,Implicit TwoWay on read-only props,Mode=OneWay for labels,TwoWay on collection count,Low,
4,Lists,Prefer CollectionView over ListView,Modern virtualization and layout,CollectionView for long heterogeneous lists,ListView for new greenfield apps,<CollectionView ItemsSource="{Binding Items}">,<ListView> for 5k items without recycle tuning,High,https://learn.microsoft.com/en-us/dotnet/maui/user-interface/controls/collectionview
5,Lists,Use DataTemplate and templates,Separation and recycling friendly,DataTemplate with x:DataType,Huge ItemTemplate inline 200 lines,ResourceDictionary DataTemplate,<CollectionView><CollectionView.ItemTemplate><StackLayout> with 50 controls inline,Medium,
6,Performance,Reuse handlers and images,Reduce allocations and decode work,FontImageSource FontImage caching where possible,New large images every binding,MCT caching or embedded resources,Load full bitmap each navigation,Medium,
7,Performance,Avoid layout nesting depth,Shallow trees improve measure or layout pass,Grid and single flex over deep stacks,Stack in Stack in Stack ten levels,Grid row definitions,<StackLayout><StackLayout><StackLayout>...,Medium,
8,Navigation,Use Shell for app structure,Flyout tabs URL routing consistent,Shell routes and query parameters,AD-hoc Navigation.Push without route,[Route("detail")],PushModal everywhere without lifecycle plan,Medium,https://learn.microsoft.com/en-us/dotnet/maui/fundamentals/shell/
9,Navigation,Handle back and lifecycle,Android predictive back and iOS gestures,OnAppearing OnDisappearing for refresh,Ignoring disconnect on background,Refresh data in OnAppearing when stale,Never update after resume,Medium,
10,Threading,Marshal UI updates to main thread,Controls must update on UI thread,MainThread.BeginInvokeOnMainThread,Background thread touches Label.Text,MainThread.BeginInvokeOnMainThread(() => Label.Text = s),Label.Text = s from Task.Run,High,https://learn.microsoft.com/en-us/dotnet/maui/platform-integration/appmodel/main-thread
11,Resources,Centralize colors and styles,Consistent theming and dark mode,App.Resources merged dictionaries,Hardcoded hex in every view,<Color x:Key="Primary"> in App.xaml,TextColor="#FF123456" on 40 pages,Medium,
12,Accessibility,Set semantic descriptions,VoiceOver and TalkBack friendly,SemanticProperties.Description on icons,Icon button without name,SemanticProperties.Description="Close",ImageButton with no automation name,High,https://learn.microsoft.com/en-us/dotnet/maui/user-interface/semantic-properties
13,Fonts,Use explicit font scales respect user size,dynamic type accessibility,DynamicResource or OnIdiom if needed,Tiny fixed fonts ignoring OS scale,FontSize from OnSizeRequest,FontSize="8" everywhere,Medium,
14,Tap,Use correct gesture targets,Minimum touch targets ~44pt,Margins or padding to expand tap zone,Small hitbox on icon only,Gestures on padded Frame,12px Image tap-only target,High,
15,Shell,Flyout for many destinations,Hamburger for deep IA,Flyout when sections exceed tab bar capacity,Seven tabs with truncated labels,Shell Flyout + few tabs,8 bottom tabs crowded,Medium,
16,Graphics,Use GraphicsView for custom draw,SkiSharp or Graphics for charts paths,GraphicsView for performance custom UI,Thousands of shapes in XAML,Drawable in code-behind or SKCanvasView,1000 BoxViews for chart,High,
17,Platform,Use dependency injection,Testable services and single registration,Register services in MauiProgram,Static service locator anti-pattern,builder.Services.AddSingleton<IApi>,ApiClient.Instance everywhere,Medium,https://learn.microsoft.com/en-us/dotnet/maui/fundamentals/dependency-injection
18,Startup,Defer heavy work after first frame,Perceived startup time,Load catalog after Shell appears,Block MainActivity until giant sync,Task.Run after first content,await DownloadEverything in ctor before UI,High,
19,Memory,Unregister message or events,Prevent leaks on page disappear,Weak reference or unsubscribe in OnDisappearing,Never unsubscribe MessagingCenter,Unsubscribe in OnDisappearing,Subscribe every Appearing without unsub,High,
20,Windows,Test windowed and desktop MAUI,Different min sizes and pointer,Adaptive layout for wide window,Phone-only layout on WinUI,VisualStateManager for Width triggers,Fixed 360dp width on desktop,Medium,
