No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Prefer routable components for pages,Use Razor components with @page for top-level views,@page directive and clear component boundaries,Giant single-file apps,@page "/dashboard",One component with entire app tree,Medium,https://learn.microsoft.com/en-us/aspnet/core/blazor/components/
2,Components,Split large markup with child components,Improve readability and reuse,Extract repeated sections into components,One file with hundreds of markup lines,<ChartPanel /> <Filters />,<div> with 400 lines inline,Medium,
3,Parameters,Use [Parameter] with clear names,Explicit contract between parent and child,Abbreviated or vague parameter names,[Parameter] public string Title { get; set; },[Parameter] public string T { get; set; },Low,
4,Parameters,Prefer EventCallback for child-to-parent,Tight Blazor pattern for actions,EventCallback for user actions,Action or Func without EventCallback,[Parameter] public EventCallback OnSave,[Parameter] public Action OnSave,High,https://learn.microsoft.com/en-us/aspnet/core/blazor/components/event-handling
5,State,Keep UI state in component or cascading value,Local UI state colocated,CascadingParameter for cross-cutting theme only,Global static mutable for UI state,[CascadingParameter] Theme theme,static CurrentUser in service for every hover state,Medium,
6,Rendering,Use @key on dynamic lists,Preserve identity for diffing,Stable key when list mutates,Index-only keys when order changes,@key="item.Id",@key="index" for sortable list,High,https://learn.microsoft.com/en-us/aspnet/core/blazor/components/key
7,Rendering,Override ShouldRender sparingly,Optimize hot paths only,ShouldRender when profiling shows benefit,ShouldRender everywhere without measurement,protected override bool ShouldRender() => _dirty,Return false on every component,Medium,https://learn.microsoft.com/en-us/aspnet/core/blazor/components/rendering
8,Performance,Use Virtualize for long lists,Render only visible rows,Virtualize Items for 100+ rows,Full render of huge collections,<Virtualize Items="orders">,<foreach with 10k rows>,High,https://learn.microsoft.com/en-us/aspnet/core/blazor/components/virtualization
9,Performance,Debounce or throttle search input,Reduce re-renders and API calls,Timer or debounce in handler,@bind after every char for search APIs,oninput with debounce,Immediate @bind-Value to API each keystroke,Medium,
10,Forms,Use EditForm with validation,Consistent validation UX,EditForm EditContext DataAnnotationsValidator,Manual validation only without feedback,<EditForm Model="model">,<input> without validation summary,Medium,https://learn.microsoft.com/en-us/aspnet/core/blazor/forms-validation
11,JSInterop,Minimize JS interop calls,Each call crosses boundary,Bulk data or batch operations,Chatty per-pixel calls from JS,IJSRuntime.InvokeAsync once per action,Invoke per scroll event without throttle,High,https://learn.microsoft.com/en-us/aspnet/core/blazor/javascript-interoperability/
12,JSInterop,Dispose DotNetObjectReference,Prevent leaks with callbacks,Dispose in IAsyncDisposable,Leave references after navigate away,await module.DisposeAsync(),new DotNetObjectReference without dispose,High,
13,CSS,Use CSS isolation for components,Scoped styles reduce conflicts,.razor.css per component,Global vague class names scoped badly,.card scoped to component,.card in site.css affecting all pages,Medium,https://learn.microsoft.com/en-us/aspnet/core/blazor/components/css-isolation
14,Assets,Optimize WASM publish size,Trim unused assemblies and enable compression,Trimming and brotli for production,Debug config shipped to users,PublishRelease with trimming,Debug build without compression,High,https://learn.microsoft.com/en-us/aspnet/core/blazor/host-and-deploy/webassembly#compression
15,Server,Handle reconnect UX for Blazor Server,User sees state after circuit drop,Graceful message or auto reconnect,Hung blank screen after sleep,Reconnect UI pattern,No indication circuit failed,Medium,https://learn.microsoft.com/en-us/aspnet/core/blazor/fundamentals/signalr
16,Prerender,Know prerender vs interactive limits,Prerender for fast first paint without full interactivity,Static HTML then enhance,Assuming all APIs work in prerender,[InteractiveServer] with documented limits,HttpContext-dependent code in static prerender without guard,High,https://learn.microsoft.com/en-us/aspnet/core/blazor/components/render-modes
17,Async,Use async lifecycle correctly,OnInitializedAsync for data loading,Try-catch and loading UI in lifecycle,Unhandled exceptions silent to user,if (data == null) show skeleton,Empty catch in OnInitializedAsync,High,
18,Auth,Authorize routes and UI,AuthorizeView and [Authorize] for gated UI,Consistent checks on pages and API,[Authorize] on page only with public API,[Authorize],API without authentication,High,https://learn.microsoft.com/en-us/aspnet/core/blazor/security/
19,A11y,Use semantic HTML in Razor,Headings buttons labels for assistors,correct button role and labels,clickable div without keyboard,<button type="button">,@onclick on div without tabindex,High,https://learn.microsoft.com/en-us/aspnet/core/blazor/accessibility
20,Errors,Use ErrorBoundary around regions,Isolate failures in sections,Per-route or widget boundaries,Entire app white screen on child error,<ErrorBoundary><MyWidget/></ErrorBoundary>,No boundary around third-party widget,Medium,https://learn.microsoft.com/en-us/aspnet/core/blazor/fundamentals/handle-errors
21,Templates,Use RenderFragment for slots,Flexible composition API,RenderFragment for optional regions,Many boolean flags for layout,[Parameter] public RenderFragment ChildContent?,ShowHeader bool ShowFooter bool ShowAside bool,Low,
22,Head,Use HeadOutlet for title and meta,SEO and share cards per route,PageTitle and HeadContent in layout,Static index.html only for SPA,<PageTitle>,<title> fixed in wwwroot only,Medium
