card__link href,card__image src,card__size,card__title,card__button,brand_name,brand_country,brand_description
"https://cigarday.ru/sigary/romeo-y-julieta/romeo-y-julieta-wide-churchills/","https://cigarday.ru/images/cms/thumbs/0930c4f51bb70f13d4fc90546d3a6df785243836/wild-chirchill_auto_56_png_5_80.png","130 мм × 55 RG","Romeo Y Julieta Wide Churchills","2 820 ₽","Romeo Y Julieta","Cuba","Классический кубинский бренд, основанный в 1875 году. Известен своими мягкими и сбалансированными сигарами."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-epicure-2/","https://cigarday.ru/images/cms/thumbs/e0a81e7880072ead0fa97ad77760c7138241e590/main_auto_56_png_5_80.png","124 мм × 50 RG","Hoyo De Monterrey Epicure №2","2 440 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/montecristo/montecristo-joyitas/","https://cigarday.ru/images/cms/thumbs/25b4f3fc32c5b076167d284317a214e5e0a47e90/main_auto_56_png_5_80.png","115 мм × 26 RG","Montecristo Joyitas","800 ₽","Montecristo","Cuba","Один из самых известных кубинских брендов сигар, основанный в 1935 году. Назван в честь романа Александра Дюма."
"https://cigarday.ru/sigary/romeo-y-julieta/romeo-3-a-t/","https://cigarday.ru/images/cms/thumbs/5b51d09947449ad8f3bbb00a61198d25a64504af/main_auto_56_png_5_80.png","117 мм × 40 RG","Romeo Y Julieta №3 A/T","1 530 ₽","Romeo Y Julieta","Cuba","Классический кубинский бренд, основанный в 1875 году. Известен своими мягкими и сбалансированными сигарами."
"https://cigarday.ru/sigary/jose-l-piedra/jose-l-piedra-petit-cazadores/","https://cigarday.ru/images/cms/thumbs/2cddfd232161c1d5a1c01110dee13718dc81ab00/main_auto_56_png_5_80.png","105 мм × 43 RG","Jose L.Piedra Petit Cazadores","890 ₽","Jose L.Piedra","Cuba","Кубинский бренд, производящий доступные сигары для местного рынка."
"https://cigarday.ru/sigary/cohiba/cohiba-panetelas/","https://cigarday.ru/images/cms/thumbs/b7ba6253177c61c80ef897a5cf130e6b6ddb6c14/main_auto_56_png_5_80.png","115 мм × 26 RG","Cohiba Panetelas","2 690 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/partagas/partagas-serie-d-4/","https://cigarday.ru/images/cms/thumbs/6cd52f4e485d7a06fa8100ec063d12da51ba03f7/main_auto_56_png_5_80.png","124 мм × 50 RG","Partagas Serie D №4","2 440 ₽","Partagas","Cuba","Кубинский бренд, основанный в 1845 году. Известен своими крепкими и ароматными сигарами."
"https://cigarday.ru/sigary/cohiba/cohiba-robustos/","https://cigarday.ru/images/cms/thumbs/f48158b6cb7711048c1f6f555ef6361ff45bfe1b/main_auto_56_png_5_80.png","124 мм × 50 RG","Cohiba Robustos","8 670 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-petit-robustos/","https://cigarday.ru/images/cms/thumbs/ef2a81f34b5efcf4d623e26e0e1935d332bd4706/main_auto_56_png_5_80.png","102 мм × 50 RG","Hoyo De Monterrey Petit Robustos","1 830 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/h-upmann/h-upmann-half-corona/","https://cigarday.ru/images/cms/thumbs/4cecd1925e443f2df873347db266e98ad36bc697/h_upmannhalf-corona_auto_56_png_5_80.png","90 мм × 44 RG","H.Upmann Half Corona","1 340 ₽","H.Upmann","Cuba","Кубинский бренд, основанный в 1844 году. Известен своими сложными и изысканными вкусами."
"https://cigarday.ru/sigary/romeo-y-julieta/romeo-y-julieta-short-churchills/","https://cigarday.ru/images/cms/thumbs/237b28695134865837b473d8678fa139ca311789/main_auto_56_png_5_80.png","124 мм × 50 RG","Romeo Y Julieta Short Churchills","2 440 ₽","Romeo Y Julieta","Cuba","Классический кубинский бренд, основанный в 1875 году. Известен своими мягкими и сбалансированными сигарами."
"https://cigarday.ru/sigary/montecristo/montecristo-dumas-linea-1935/","https://cigarday.ru/images/cms/thumbs/0dc08a0b4491d6426d941fd4b1e9d17d031e3135/monte-dumas_auto_56_png_5_80.png","130 мм × 49 RG","Montecristo Dumas","5 750 ₽","Montecristo","Cuba","Один из самых известных кубинских брендов сигар, основанный в 1935 году. Назван в честь романа Александра Дюма."
"https://cigarday.ru/sigary/montecristo/montecristo-2/","https://cigarday.ru/images/cms/thumbs/d67966302a2dcbce4010c84457d4a2f99c9510a2/main_auto_56_png_5_80.png","156 мм × 52 RG","Montecristo №2","3 090 ₽","Montecristo","Cuba","Один из самых известных кубинских брендов сигар, основанный в 1935 году. Назван в честь романа Александра Дюма."
"https://cigarday.ru/sigary/quintero/quintero-petit-quintero/","https://cigarday.ru/images/cms/thumbs/e2493ab69eb06f293b91727781b1f4f99bba0064/main_auto_56_png_5_80.png","105 мм × 43 RG","Quintero Petit Quintero","930 ₽","Quintero","Cuba","Кубинский бренд, основанный в 1924 году. Производит доступные сигары с классическими кубинскими вкусами."
"https://cigarday.ru/sigary/orishas/orishas-presidentes-lancero-40x7/","https://cigarday.ru/images/cms/thumbs/4a58910886131668b1cdba45c9c0bd0eec2c880a/orishas-presidentes-lancero_auto_56_png_5_80.png","178 мм × 40 RG","ORISHAS Presidentes Lancero (стеклянная туба)","1 610 ₽","ORISHAS","Cuba","Кубинский бренд, вдохновленный афро-кубинской религией. Производит сигары с уникальными вкусами."
"https://cigarday.ru/sigary/montecristo/montecristo-4/","https://cigarday.ru/images/cms/thumbs/a045881938a35d6a7bd66f6460080b8035b66dfd/main_auto_56_png_5_80.png","129 мм × 42 RG","Montecristo №4","1 890 ₽","Montecristo","Cuba","Один из самых известных кубинских брендов сигар, основанный в 1935 году. Назван в честь романа Александра Дюма."
"https://cigarday.ru/sigary/cohiba/cohiba-siglo-i/","https://cigarday.ru/images/cms/thumbs/179e3fec2bd8b6757c1c6b88392a85d7e99699c4/main_auto_56_png_5_80.png","102 мм × 40 RG","Cohiba Siglo I","3 680 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-epicure-de-luxe/","https://cigarday.ru/images/cms/thumbs/2899ca27876dd80f75bc9f83391e881a9289d81b/main_auto_56_png_5_80.png","115 мм × 52 RG","Hoyo De Monterrey Epicure de Luxe (La Casa del Habano)","2 500 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/romeo-y-julieta/romeo-y-julieta-mille-fleurs/","https://cigarday.ru/images/cms/thumbs/b5c91efa5216b195b123aafd86f6a2e5124c1bf7/main_auto_56_png_5_80.png","129 мм × 42 RG","Romeo Y Julieta Mille Fleurs","1 480 ₽","Romeo Y Julieta","Cuba","Классический кубинский бренд, основанный в 1875 году. Известен своими мягкими и сбалансированными сигарами."
"https://cigarday.ru/sigary/cohiba/cohiba-piramides-extra/","https://cigarday.ru/images/cms/thumbs/f8ab973f2924f3dd31a96bc1c80623564239f446/main_auto_56_png_5_80.png","160 мм × 54 RG","Cohiba Piramides Extra","16 000 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/cohiba/cohiba-bhk52/","https://cigarday.ru/images/cms/thumbs/f978eb45240114a1f86a465cefa2e9ec7f821b22/main_auto_56_png_5_80.png","119 мм × 52 RG","Cohiba BHK 52","25 000 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/cohiba/cohiba-siglo-ii/","https://cigarday.ru/images/cms/thumbs/fea0c5572a3d5d6f19b14adb25a8cb82e5f4b2d4/main_auto_56_png_5_80.png","129 мм × 42 RG","Cohiba Siglo II","4 410 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-epicure-especial/","https://cigarday.ru/images/cms/thumbs/392263d5cdf494253671c9dda355ef8a1156ca1b/espesial_auto_56_png_5_80.png","141 мм × 50 RG","Hoyo De Monterrey Epicure Especial","2 720 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/partagas/partagas-habaneros/","https://cigarday.ru/images/cms/thumbs/3c2f8783b6c0a2263edf5945de33375d339774e0/main_auto_56_png_5_80.png","125 мм × 39 RG","Partagas Habaneros","1 300 ₽","Partagas","Cuba","Кубинский бренд, основанный в 1845 году. Известен своими крепкими и ароматными сигарами."
"https://cigarday.ru/sigary/h-upmann/h-upmann-magnum-54/","https://cigarday.ru/images/cms/thumbs/9a1a2e8efc1d31d785ee54f26ca5d30c7b1d2039/54_auto_56_png_5_80.png","120 мм × 54 RG","H.Upmann Magnum 54","2 530 ₽","H.Upmann","Cuba","Кубинский бренд, основанный в 1844 году. Известен своими сложными и изысканными вкусами."
